import time: self [us] | cumulative | imported package
import time:       146 |        146 |   _io
import time:        22 |         22 |   marshal
import time:       144 |        144 |   posix
import time:       420 |        730 | _frozen_importlib_external
import time:       557 |        557 |   time
import time:       145 |        701 | zipimport
import time:        28 |         28 |     _codecs
import time:       323 |        350 |   codecs
import time:       773 |        773 |   encodings.aliases
import time:      2040 |       3162 | encodings
import time:       321 |        321 | encodings.utf_8
import time:        43 |         43 | _signal
import time:        15 |         15 |     _abc
import time:        93 |        107 |   abc
import time:        87 |        194 | io
import time:        25 |         25 |       _stat
import time:        53 |         78 |     stat
import time:       455 |        455 |     _collections_abc
import time:        29 |         29 |       errno
import time:        44 |         44 |       genericpath
import time:        80 |        152 |     posixpath
import time:       286 |        969 |   os
import time:        46 |         46 |   _sitebuiltins
import time:       408 |        408 |   sitecustomize
import time:      1447 |       2869 | site
import time:       374 |        374 | linecache
import time:        70 |         70 |   livekit
import time:        65 |         65 |       itertools
import time:       245 |        245 |       keyword
import time:        35 |         35 |         _operator
import time:       396 |        430 |       operator
import time:       364 |        364 |       reprlib
import time:        29 |         29 |       _collections
import time:       842 |       1973 |     collections
import time:       344 |        344 |     copyreg
import time:        24 |         24 |       _functools
import time:       554 |        577 |     functools
import time:       383 |        383 |     types
import time:        14 |         14 |     _typing
import time:      1644 |       4932 |   typing
import time:       329 |        329 |       __future__
import time:      1215 |       1215 |             concurrent
import time:      1017 |       1017 |                   enum
import time:        34 |         34 |                     _sre
import time:       227 |        227 |                       re._constants
import time:       344 |        570 |                     re._parser
import time:       198 |        198 |                     re._casefix
import time:       557 |       1358 |                   re._compiler
import time:       593 |       2967 |                 re
import time:       693 |        693 |                   textwrap
import time:       488 |        488 |                   warnings
import time:       547 |        547 |                   contextlib
import time:       534 |        534 |                   _colorize
import time:       742 |       3002 |                 traceback
import time:       295 |        295 |                   _weakrefset
import time:       437 |        732 |                 weakref
import time:        14 |         14 |                   _string
import time:       424 |        438 |                 string
import time:       663 |        663 |                 threading
import time:        16 |         16 |                 atexit
import time:      1397 |       9210 |               logging
import time:       444 |       9654 |             concurrent.futures._base
import time:       447 |      11315 |           concurrent.futures
import time:       713 |        713 |             _heapq
import time:       277 |        989 |           heapq
import time:       746 |        746 |             _socket
import time:       509 |        509 |               math
import time:       950 |        950 |               select
import time:       626 |       2084 |             selectors
import time:       566 |        566 |             array
import time:       886 |       4280 |           socket
import time:        39 |         39 |               _locale
import time:       842 |        881 |             locale
import time:       455 |        455 |             signal
import time:       557 |        557 |             fcntl
import time:        47 |         47 |             msvcrt
import time:       662 |        662 |             _posixsubprocess
import time:       814 |       3415 |           subprocess
import time:      2176 |       2176 |             _ssl
import time:       684 |        684 |                 _struct
import time:       260 |        943 |               struct
import time:       616 |        616 |               binascii
import time:       469 |       2027 |             base64
import time:      2083 |       6285 |           ssl
import time:       426 |        426 |           asyncio.constants
import time:       742 |        742 |                 _ast
import time:      1007 |       1748 |               ast
import time:      1910 |       1910 |                   _opcode
import time:      1477 |       1477 |                   _opcode_metadata
import time:       720 |       4105 |                 opcode
import time:      1044 |       5149 |               dis
import time:       424 |        424 |                 importlib
import time:        56 |        479 |               importlib.machinery
import time:       339 |        339 |                 token
import time:        30 |         30 |                 _tokenize
import time:       858 |       1226 |               tokenize
import time:      2040 |      10641 |             inspect
import time:       592 |      11232 |           asyncio.coroutines
import time:       703 |        703 |               _contextvars
import time:       265 |        968 |             contextvars
import time:       256 |        256 |             asyncio.format_helpers
import time:       131 |        131 |               asyncio.base_futures
import time:       155 |        155 |               asyncio.exceptions
import time:       282 |        282 |               asyncio.base_tasks
import time:       569 |       1135 |             _asyncio
import time:       758 |       3116 |           asyncio.events
import time:       464 |        464 |           asyncio.futures
import time:       257 |        257 |           asyncio.protocols
import time:       268 |        268 |             asyncio.transports
import time:       102 |        102 |             asyncio.log
import time:       517 |        886 |           asyncio.sslproto
import time:       106 |        106 |               asyncio.mixins
import time:       407 |        513 |             asyncio.locks
import time:       275 |        275 |               asyncio.queues
import time:       412 |        412 |               asyncio.timeouts
import time:       420 |       1106 |             asyncio.tasks
import time:       165 |       1783 |           asyncio.staggered
import time:       229 |        229 |           asyncio.trsock
import time:      2076 |      46746 |         asyncio.base_events
import time:       306 |        306 |         asyncio.runners
import time:       742 |        742 |         asyncio.streams
import time:       315 |        315 |         asyncio.subprocess
import time:       229 |        229 |         asyncio.taskgroups
import time:       100 |        100 |         asyncio.threads
import time:       329 |        329 |           asyncio.base_subprocess
import time:       578 |        578 |           asyncio.selector_events
import time:       571 |       1477 |         asyncio.unix_events
import time:       380 |      50291 |       asyncio
import time:       726 |        726 |               _json
import time:       385 |       1110 |             json.scanner
import time:       569 |       1679 |           json.decoder
import time:       376 |        376 |           json.encoder
import time:       324 |       2378 |         json
import time:      1955 |       1955 |             multiprocessing.process
import time:       201 |        201 |                 _compat_pickle
import time:       668 |        668 |                 _pickle
import time:       687 |       1555 |               pickle
import time:       368 |       1923 |             multiprocessing.reduction
import time:       589 |       4466 |           multiprocessing.context
import time:       305 |       4770 |         multiprocessing
import time:       284 |        284 |             fnmatch
import time:       537 |        537 |             zlib
import time:       213 |        213 |               _compression
import time:       552 |        552 |               _bz2
import time:       377 |       1140 |             bz2
import time:       555 |        555 |               _lzma
import time:       317 |        871 |             lzma
import time:       745 |       3574 |           shutil
import time:       505 |        505 |               _bisect
import time:       290 |        795 |             bisect
import time:       642 |        642 |             _random
import time:       512 |       1947 |           random
import time:       597 |       6117 |         tempfile
import time:       239 |        239 |           copy
import time:       517 |        756 |         dataclasses
import time:       681 |        681 |             glob
import time:       944 |       1625 |           pathlib._abc
import time:        57 |         57 |               _winapi
import time:        42 |         42 |               nt
import time:        37 |         37 |               nt
import time:        38 |         38 |               nt
import time:        35 |         35 |               nt
import time:        32 |         32 |               nt
import time:        34 |         34 |               nt
import time:        32 |         32 |               nt
import time:       153 |        456 |             ntpath
import time:        20 |         20 |             pwd
import time:       579 |        579 |             grp
import time:       489 |       1543 |           pathlib._local
import time:       220 |       3386 |         pathlib
import time:       264 |        264 |           urllib
import time:       923 |        923 |           ipaddress
import time:      1018 |       2204 |         urllib.parse
import time:       708 |        708 |               multidict._abc
import time:        49 |         49 |                   _wmi
import time:       575 |        623 |                 platform
import time:       991 |        991 |                 multidict._multidict
import time:       652 |       2265 |               multidict._compat
import time:       492 |       3465 |             multidict
import time:       959 |       4423 |           aiohttp.hdrs
import time:      1065 |       1065 |               _hashlib
import time:       690 |        690 |               _blake2
import time:       422 |       2176 |             hashlib
import time:       332 |        332 |                 attr._compat
import time:       647 |        647 |                   unicodedata
import time:       338 |        338 |                   attr._config
import time:       367 |        367 |                     attr.exceptions
import time:       342 |        709 |                   attr.setters
import time:      2355 |       4047 |                 attr._make
import time:       515 |       4893 |               attr.converters
import time:       189 |        189 |               attr.filters
import time:      4096 |       4096 |               attr.validators
import time:       331 |        331 |               attr._cmp
import time:       376 |        376 |               attr._funcs
import time:       492 |        492 |               attr._next_gen
import time:       538 |        538 |               attr._version_info
import time:       479 |      11391 |             attr
import time:      1812 |       1812 |                     yarl._quoting_c
import time:       220 |       2032 |                   yarl._quoting
import time:       394 |       2425 |                 yarl._quoters
import time:       512 |       2937 |               yarl._query
import time:       511 |        511 |                   importlib._abc
import time:       101 |        612 |                 importlib.util
import time:      1009 |       1009 |                     idna.idnadata
import time:       252 |        252 |                     idna.intranges
import time:      2198 |       3459 |                   idna.core
import time:       273 |        273 |                   idna.package_data
import time:       580 |       4311 |                 idna
import time:       976 |        976 |                   propcache
import time:       882 |        882 |                     propcache._helpers_c
import time:       360 |       1241 |                   propcache._helpers
import time:       449 |       2665 |                 propcache.api
import time:       368 |        368 |                 yarl._parse
import time:       217 |        217 |                 yarl._path
import time:      1588 |       9760 |               yarl._url
import time:       589 |      13286 |             yarl
import time:       500 |        500 |               http
import time:       390 |        390 |                 aiohttp.typedefs
import time:       518 |        908 |               aiohttp.http_exceptions
import time:       617 |        617 |                   aiohttp.client_exceptions
import time:      1009 |       1009 |                       _datetime
import time:       268 |       1276 |                     datetime
import time:       313 |        313 |                     netrc
import time:       364 |        364 |                       email
import time:       298 |        298 |                       quopri
import time:       290 |        290 |                         email._parseaddr
import time:       498 |        787 |                       email.utils
import time:       364 |        364 |                       email.errors
import time:       358 |        358 |                           email.quoprimime
import time:       176 |        176 |                           email.base64mime
import time:       188 |        188 |                             email.encoders
import time:       277 |        464 |                           email.charset
import time:       434 |       1430 |                         email.header
import time:       228 |       1658 |                       email._policybase
import time:       406 |        406 |                       email._encoded_words
import time:       184 |        184 |                       email.iterators
import time:       813 |       4871 |                     email.message
import time:       367 |        367 |                       email.feedparser
import time:       257 |        623 |                     email.parser
import time:      1390 |       1390 |                         email._header_value_parser
